fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,symbol,period_type,statement_type
2006-06-30,USD,15114000000,11486000000,8013000000,8013000000,213000000.0,1089000000,2623000000,1197000000.0,,37000000.0,37000000.0,38000000.0,,,1163000000,1008000000.0,,5784000000,5023000000,2513000000.0,,,,761000000,,,,,,2510000000,,9330000000,,5065000000,4249000000,24538304000,AAPL,Quarterly,balance
2006-09-30,USD,17205000000,14509000000,6392000000,6392000000,270000000.0,2845000000,2696000000,1281000000.0,794000000.0,139000000.0,139000000.0,38000000.0,,,3718000000,469000000.0,,7221000000,6471000000,3390000000.0,,,1515000000.0,750000000,,,,,,2335000000,,9984000000,,5607000000,4355000000,24570728000,AAPL,Annual,balance
2006-09-30,USD,17205000000,13758000000,6392000000,6392000000,270000000.0,2094000000,2696000000,1281000000.0,,139000000.0,139000000.0,38000000.0,,,3718000000,1284000000.0,,7221000000,6471000000,3390000000.0,,,934000000.0,750000000,,,,,,1801000000,,9984000000,,5607000000,4355000000,24538304000,AAPL,Quarterly,balance
2006-12-31,USD,19461000000,15766000000,7159000000,7159000000,303000000.0,3113000000,2797000000,1362000000.0,,146000000.0,146000000.0,38000000.0,,,4710000000,481000000.0,,8233000000,7337000000,3885000000.0,,,1521000000.0,896000000,,,,,,2528000000,,11228000000,,6611000000,4594000000,24732316000,AAPL,Quarterly,balance
2007-03-31,USD,18711000000,14914000000,7095000000,7095000000,208000000.0,1667000000,2682000000,1409000000.0,,240000000.0,240000000.0,38000000.0,,,5482000000,462000000.0,,6450000000,5485000000,2403000000.0,,,1533000000.0,965000000,,,,,,2160000000,,12261000000,,7381000000,4848000000,24826284000,AAPL,Quarterly,balance
2007-06-30,USD,21647000000,17617000000,7118000000,7118000000,251000000.0,2901000000,2902000000,1626000000.0,,237000000.0,237000000.0,38000000.0,,,6649000000,698000000.0,,8243000000,6992000000,3660000000.0,,,1603000000.0,1251000000,,,,,,2269000000,,13404000000,,8199000000,5149000000,24938788000,AAPL,Quarterly,balance
2007-09-30,USD,25347000000,21956000000,9352000000,9352000000,346000000.0,4029000000,3391000000,1832000000.0,1009000000.0,299000000.0,299000000.0,38000000.0,,,6034000000,996000000.0,,10815000000,9299000000,4970000000.0,,,1805000000.0,1516000000,,,,,,2919000000,,14532000000,,9101000000,5368000000,24900176000,AAPL,Annual,balance
2007-09-30,USD,25347000000,20757000000,9352000000,9352000000,346000000.0,4029000000,3391000000,1832000000.0,,299000000.0,299000000.0,38000000.0,,,6034000000,996000000.0,,10815000000,9299000000,4970000000.0,,,1805000000.0,1516000000,,,,,,2919000000,,14532000000,,9101000000,5368000000,25201512000,AAPL,Quarterly,balance
2007-12-31,USD,30039000000,24779000000,9162000000,9162000000,459000000.0,4422000000,3850000000,1870000000.0,,311000000.0,311000000.0,38000000.0,,,9286000000,1450000000.0,,13235000000,10535000000,5366000000.0,,,1596000000.0,2700000000,,,,,,3074000000,,16804000000,,10684000000,6046000000,25201512000,AAPL,Quarterly,balance
2008-03-31,USD,30471000000,25127000000,9070000000,9070000000,364000000.0,3620000000,3735000000,1962000000.0,,300000000.0,300000000.0,38000000.0,,,10378000000,1695000000.0,,12418000000,9634000000,4154000000.0,,,1743000000.0,2784000000,,,,,,3064000000,,18053000000,,11642000000,6342000000,25181212000,AAPL,Quarterly,balance
2008-06-30,USD,31709000000,26324000000,9373000000,9373000000,545000000.0,3245000000,3711000000,2177000000.0,,291000000.0,291000000.0,38000000.0,,,11401000000,1760000000.0,,12087000000,9218000000,3683000000.0,,,1675000000.0,2869000000,,,,,,2808000000,,19622000000,,12714000000,6831000000,25288676000,AAPL,Quarterly,balance
2008-09-30,USD,39572000000,34690000000,11875000000,11875000000,509000000.0,2422000000,4882000000,2455000000.0,1292000000.0,285000000.0,285000000.0,207000000.0,,,12615000000,5822000000.0,,18542000000,14092000000,5520000000.0,,,2507000000.0,4450000000,,,,,,3719000000,,21030000000,,13845000000,7177000000,25259892000,AAPL,Annual,balance
2008-09-30,USD,39572000000,30837000000,11875000000,11875000000,509000000.0,4704000000,4882000000,2455000000.0,,285000000.0,285000000.0,207000000.0,,,12615000000,1134000000.0,,18542000000,14092000000,5520000000.0,,,2507000000.0,4450000000,,,,,,3719000000,,21030000000,,13845000000,7177000000,25241832000,AAPL,Quarterly,balance
2008-12-31,USD,42787000000,33550000000,7236000000,7236000000,396000000.0,2196000000,7624000000,2580000000.0,,277000000.0,277000000.0,207000000.0,,,18411000000,5311000000.0,,19878000000,14757000000,4715000000.0,,,1390000000.0,5121000000,,,,,,3807000000,,22909000000,,15448000000,7392000000,25241832000,AAPL,Quarterly,balance
2009-03-31,USD,43237000000,29307000000,4466000000,4466000000,312000000.0,3036000000,9384000000,2546000000.0,,268000000.0,268000000.0,207000000.0,,,20547000000,946000000.0,,18926000000,13751000000,3976000000.0,,,1275000000.0,5175000000,,,,,,2761000000,,24311000000,,16653000000,7643000000,25283804000,AAPL,Quarterly,balance
2009-06-30,USD,48140000000,33439000000,5605000000,5605000000,380000000.0,2686000000,12970000000,2653000000.0,,259000000.0,259000000.0,207000000.0,,6899000000.0,18617000000,6151000000.0,,22252000000,16661000000,4854000000.0,,,1280000000.0,5591000000,,0.0,,,,3338000000,1924000000.0,25888000000,0.0,17878000000,7957000000,25456480000,AAPL,Quarterly,balance
2009-09-30,USD,53851000000,36265000000,5263000000,5263000000,455000000.0,3361000000,17586000000,2954000000.0,1713000000.0,247000000.0,247000000.0,206000000.0,,10528000000.0,18201000000,6884000000.0,,26019000000,19282000000,5601000000.0,,,1948000000.0,6737000000,,,,,,3376000000,3502000000.0,27832000000,0.0,19538000000,8210000000,25396140000,AAPL,Annual,balance
2009-09-30,USD,53851000000,34164000000,5263000000,5263000000,455000000.0,3361000000,17586000000,2954000000.0,,247000000.0,247000000.0,206000000.0,,10528000000.0,18201000000,6884000000.0,,26019000000,19282000000,5601000000.0,,,1948000000.0,6737000000,,0.0,,,,3376000000,3502000000.0,27832000000,0.0,19538000000,8210000000,25602472000,AAPL,Quarterly,balance
2009-12-31,USD,53926000000,31920000000,7609000000,7609000000,576000000.0,4881000000,20594000000,3115000000.0,,241000000.0,241000000.0,253000000.0,,15024000000.0,17187000000,1667000000.0,,18158000000,13097000000,6511000000.0,,,1713000000.0,5061000000,,0.0,,,,3996000000,4139000000.0,35768000000,0.0,26695000000,8962000000,25753924000,AAPL,Quarterly,balance
2010-03-31,USD,57057000000,31194000000,10018000000,10018000000,638000000.0,2886000000,24721000000,3504000000.0,,263000000.0,263000000.0,480000000.0,,18549000000.0,13137000000,4515000000.0,,17709000000,12229000000,5666000000.0,,,1829000000.0,5480000000,,0.0,,,,4021000000,4539000000.0,39348000000,0.0,29670000000,9553000000,25840584000,AAPL,Quarterly,balance
2010-06-30,USD,64725000000,34817000000,9705000000,9705000000,942000000.0,6399000000,28692000000,3990000000.0,,318000000.0,318000000.0,714000000.0,,21551000000.0,14583000000,3188000000.0,,21614000000,15612000000,8469000000.0,,,1927000000.0,6002000000,,0.0,,,,4452000000,4981000000.0,43111000000,0.0,32870000000,10133000000,25966108000,AAPL,Quarterly,balance
2010-09-30,USD,75183000000,41678000000,11261000000,11261000000,1051000000.0,5510000000,33505000000,4768000000.0,2466000000.0,342000000.0,342000000.0,741000000.0,,25391000000.0,14359000000,3447000000.0,,27392000000,20722000000,12015000000.0,,,2466000000.0,6670000000,,,,,,5723000000,5531000000.0,47791000000,0.0,37169000000,10668000000,25891936000,AAPL,Annual,balance
2010-09-30,USD,75183000000,40042000000,11261000000,11261000000,1051000000.0,9924000000,33505000000,4768000000.0,,342000000.0,342000000.0,741000000.0,,25391000000.0,14359000000,3447000000.0,,27392000000,20722000000,12015000000.0,,,2466000000.0,6670000000,,0.0,,,,5723000000,5531000000.0,47791000000,0.0,37169000000,10668000000,26128312000,AAPL,Quarterly,balance
2010-12-31,USD,86742000000,42203000000,10734000000,10734000000,885000000.0,10874000000,42815000000,5868000000.0,,522000000.0,522000000.0,741000000.0,,32730000000.0,16243000000,3467000000.0,,32076000000,23795000000,14301000000.0,,,2769000000.0,8281000000,,0.0,,,,5953000000,7065000000.0,54666000000,0.0,43050000000,11502000000,26128312000,AAPL,Quarterly,balance
2011-03-31,USD,94904000000,45314000000,15978000000,15978000000,930000000.0,11095000000,47907000000,6241000000.0,,507000000.0,507000000.0,741000000.0,,36533000000.0,13256000000,4055000000.0,,33427000000,24327000000,13714000000.0,,,4272000000.0,9100000000,,0.0,,,,7022000000,7870000000.0,61477000000,0.0,49025000000,12326000000,26206432000,AAPL,Quarterly,balance
2011-06-30,USD,106758000000,45006000000,12091000000,12091000000,889000000.0,11471000000,59860000000,6749000000.0,,1169000000.0,1169000000.0,741000000.0,,47761000000.0,16304000000,4251000000.0,,37415000000,26859000000,15270000000.0,,,,10556000000,,0.0,,,,7597000000,9149000000.0,69343000000,0.0,56239000000,12715000000,26258680000,AAPL,Quarterly,balance
2011-09-30,USD,116371000000,44988000000,9815000000,9815000000,776000000.0,5369000000,71383000000,7777000000.0,3991000000.0,3536000000.0,3536000000.0,896000000.0,,55618000000.0,16137000000,4529000000.0,,39756000000,27970000000,14632000000.0,,,5606000000.0,11786000000,,,,,,9247000000,10100000000.0,76615000000,0.0,62841000000,13331000000,26226060000,AAPL,Annual,balance
2011-09-30,USD,116371000000,42974000000,9815000000,9815000000,776000000.0,11717000000,71383000000,7777000000.0,,3536000000.0,3536000000.0,896000000.0,,55618000000.0,16137000000,4529000000.0,,39756000000,27970000000,14632000000.0,,,5606000000.0,11786000000,,0.0,,,,9247000000,10100000000.0,76615000000,0.0,62841000000,13331000000,26306476000,AAPL,Quarterly,balance
2011-12-31,USD,138681000000,52834000000,10310000000,10310000000,1236000000.0,16484000000,83910000000,7816000000.0,,3472000000.0,3472000000.0,896000000.0,,67445000000.0,19846000000,4958000000.0,,48627000000,34607000000,18221000000.0,,,6895000000.0,14020000000,,0.0,,,,11500000000,11833000000.0,90054000000,0.0,75709000000,13961000000,26364016000,AAPL,Quarterly,balance
2012-03-31,USD,150934000000,48459000000,10121000000,10121000000,1102000000.0,13769000000,100222000000,8847000000.0,,3604000000.0,3604000000.0,1141000000.0,,81638000000.0,18417000000,5050000000.0,,48436000000,32036000000,17011000000.0,,,5835000000.0,16400000000,,0.0,,,,9778000000,13954000000.0,102498000000,0.0,87124000000,14850000000,26457004000,AAPL,Quarterly,balance
2012-06-30,USD,162896000000,49634000000,7945000000,7945000000,1122000000.0,14298000000,110953000000,10487000000.0,,4329000000.0,4329000000.0,1132000000.0,,89567000000.0,19709000000,6560000000.0,,51150000000,33060000000,16808000000.0,,,5788000000.0,18090000000,,0.0,,,,10430000000,15560000000.0,111746000000,0.0,95641000000,15573000000,26517652000,AAPL,Quarterly,balance
2012-09-30,USD,176064000000,57653000000,10746000000,10746000000,791000000.0,5551000000,118411000000,15452000000.0,6435000000.0,4224000000.0,4224000000.0,1135000000.0,,92122000000.0,18383000000,6458000000.0,,57854000000,38542000000,21175000000.0,,,6310000000.0,19312000000,,,,,,11414000000,16664000000.0,118210000000,0.0,101289000000,16422000000,26469940000,AAPL,Annual,balance
2012-09-30,USD,176064000000,55070000000,10746000000,10746000000,791000000.0,18692000000,118411000000,15452000000.0,,4224000000.0,4224000000.0,1135000000.0,,92122000000.0,18383000000,6458000000.0,,57854000000,38542000000,21175000000.0,,,6310000000.0,19312000000,,0.0,,,,11414000000,16664000000.0,118210000000,0.0,101289000000,16422000000,26549208000,AAPL,Quarterly,balance
2012-12-31,USD,196088000000,69453000000,16154000000,16154000000,1455000000.0,21534000000,123740000000,15422000000.0,,4462000000.0,4462000000.0,1381000000.0,,97292000000.0,23666000000,6644000000.0,,68742000000,46879000000,26398000000.0,,,7461000000.0,21863000000,,0.0,,,,13207000000,18925000000.0,127346000000,0.0,109567000000,17167000000,26522076000,AAPL,Quarterly,balance
2013-03-31,USD,194743000000,60095000000,12053000000,12053000000,1245000000.0,13336000000,131406000000,15026000000.0,,4136000000.0,4136000000.0,1400000000.0,,105550000000.0,27084000000,6377000000.0,,59253000000,35508000000,14912000000.0,,,7629000000.0,23745000000,,0.0,,,,13331000000,20868000000.0,135490000000,0.0,116572000000,17954000000,26488980000,AAPL,Quarterly,balance
2013-06-30,USD,199856000000,65026000000,11248000000,11248000000,1697000000.0,13453000000,131637000000,16327000000.0,,4353000000.0,4353000000.0,1522000000.0,,104014000000.0,31358000000,7270000000.0,,76502000000,36319000000,15516000000.0,,,7420000000.0,40183000000,,16958000000.0,,,16958000000.0,13470000000,20553000000.0,123354000000,0.0,104564000000,19024000000,25879420000,AAPL,Quarterly,balance
2013-09-30,USD,207000000000,73286000000,14259000000,14259000000,1764000000.0,2172000000,133714000000,16597000000.0,11922000000.0,4179000000.0,4179000000.0,1577000000.0,,106215000000.0,26287000000,6882000000.0,,83451000000,43658000000,22367000000.0,,,7679000000.0,39793000000,,16960000000.0,,,16960000000.0,13856000000,20208000000.0,123549000000,0.0,104256000000,19764000000,26086536000,AAPL,Annual,balance
2013-09-30,USD,207000000000,69833000000,14259000000,14259000000,1764000000.0,20641000000,133714000000,16597000000.0,,4179000000.0,4179000000.0,1577000000.0,,106215000000.0,26287000000,6882000000.0,,83451000000,43658000000,22367000000.0,,,7679000000.0,39793000000,,16960000000.0,,,16960000000.0,13856000000,20208000000.0,123549000000,0.0,104256000000,19764000000,25455668000,AAPL,Quarterly,balance
