fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,stockBasedCompensation,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,symbol,period_type,statement_type
2006-06-30,USD,1007000000,,,,,57000000,237000000,,-9000000.0,,3086000000.0,129000000,,,,,,,,,,,73000000.0,,,1667000000.0,,472000000,AAPL,Quarterly,cashflow
2006-09-30,USD,2220000000,,,,,225000000,657000000,,-105000000.0,,357000000.0,324000000,,,,,,,,,,,-355000000.0,,163000000.0,2901000000.0,,1989000000,AAPL,Annual,cashflow
2006-09-30,USD,1055000000,,,,,66000000,145000000,,-57000000.0,,357000000.0,53000000,,,,,,,,,,,-1000000.0,,40000000.0,-1621000000.0,,542000000,AAPL,Quarterly,cashflow
2006-12-31,USD,1813000000,,,,,74000000,257000000,,-33000000.0,,-1234000000.0,188000000,,,,,,,,,,,101000000.0,,46000000.0,767000000.0,,1004000000,AAPL,Quarterly,cashflow
2007-03-31,USD,734000000,,,,,69000000,206000000,,95000000.0,,-978000000.0,180000000,,,,,,,,,,,75000000.0,,63000000.0,-64000000.0,,770000000,AAPL,Quarterly,cashflow
2007-06-30,USD,1227000000,,,,,81000000,289000000,,-43000000.0,,-1433000000.0,229000000,,,,,,,,,,,118000000.0,,65000000.0,23000000.0,,818000000,AAPL,Quarterly,cashflow
2007-09-30,USD,5470000000,,,,,317000000,735000000,,-76000000.0,,-3249000000.0,739000000,,,,,,,,,,,-3000000.0,,242000000.0,2960000000.0,,3496000000,AAPL,Annual,cashflow
2007-09-30,USD,1696000000,,,,,93000000,234000000,,-95000000.0,,396000000.0,142000000,,,,,,,,,,,-3000000.0,,68000000.0,2234000000.0,,904000000,AAPL,Quarterly,cashflow
2007-12-31,USD,2787000000,,,,,106000000,232000000,,-113000000.0,,-3462000000.0,485000000,,,,,,,,,,,-9000000.0,,110000000.0,-190000000.0,,1581000000,AAPL,Quarterly,cashflow
2008-03-31,USD,1193000000,,,,,116000000,215000000,,95000000.0,,-1362000000.0,77000000,,,,,,,,,,,54000000.0,,132000000.0,-92000000.0,,1045000000,AAPL,Quarterly,cashflow
2008-06-30,USD,1321000000,,,,,117000000,330000000,,-181000000.0,,-1372000000.0,354000000,,,,,,,,,,,178000000.0,,133000000.0,303000000.0,,1072000000,AAPL,Quarterly,cashflow
2008-09-30,USD,9596000000,,,,,473000000,1091000000,,-163000000.0,,-8189000000.0,1116000000,,,,,,,,,,,-124000000.0,,516000000.0,2523000000.0,,4834000000,AAPL,Annual,cashflow
2008-09-30,USD,4295000000,,,,,134000000,422000000,,36000000.0,,-1993000000.0,200000000,,,,,,,,,,,9000000.0,,141000000.0,2502000000.0,,1136000000,AAPL,Quarterly,cashflow
