symbol,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,netIncome,totalAssets,totalLiabilities,totalShareholderEquity,shortTermDebt,longTermDebt,operatingCashflow,capitalExpenditures,gross_margin,operating_margin,net_profit_margin,total_debt,debt_to_asset_ratio,roe,roa,free_cash_flow,revenue_growth,net_income_growth
AAPL,2006-09-30,19315000000,5598000000,2453000000,1989000000,17205000000,7221000000,9984000000,1515000000.0,,2220000000,657000000,28.98,12.7,10.3,1515000000.0,8.81,19.92,11.56,1563000000,,
AAPL,2007-09-30,24006000000,8154000000,4409000000,3495000000,25347000000,10815000000,14532000000,1805000000.0,,5470000000,735000000,33.97,18.37,14.56,1805000000.0,7.12,24.05,13.79,4735000000,24.29,75.72
AAPL,2008-09-30,32479000000,11145000000,6275000000,4834000000,39572000000,18542000000,21030000000,2507000000.0,,9596000000,1091000000,34.31,19.32,14.88,2507000000.0,6.34,22.99,12.22,8505000000,35.3,38.31
AAPL,2009-09-30,42603000000,16852000000,11370000000,8235000000,53851000000,26019000000,27832000000,1948000000.0,,10159000000,1144000000,39.56,26.69,19.33,1948000000.0,3.62,29.59,15.29,9015000000,31.17,70.36
AAPL,2010-09-30,65225000000,25684000000,18385000000,14013000000,75183000000,27392000000,47791000000,2466000000.0,,18595000000,2005000000,39.38,28.19,21.48,2466000000.0,3.28,29.32,18.64,16590000000,53.1,70.16
AAPL,2011-09-30,108249000000,43818000000,33790000000,25922000000,116371000000,39756000000,76615000000,5606000000.0,,37529000000,4260000000,40.48,31.22,23.95,5606000000.0,4.82,33.83,22.28,33269000000,65.96,84.99
AAPL,2012-09-30,156508000000,68662000000,55241000000,41733000000,176064000000,57854000000,118210000000,6310000000.0,,50856000000,8295000000,43.87,35.3,26.67,6310000000.0,3.58,35.3,23.7,42561000000,44.58,60.99
AAPL,2013-09-30,170910000000,64304000000,48999000000,37037000000,207000000000,83451000000,123549000000,7679000000.0,16960000000.0,53666000000,8165000000,37.62,28.67,21.67,24639000000.0,11.9,29.98,17.89,45501000000,9.2,-11.25
AAPL,2014-09-30,182795000000,70537000000,52503000000,39510000000,231839000000,120292000000,111547000000,6308000000.0,28987000000.0,59713000000,9571000000,38.59,28.72,21.61,35295000000.0,15.22,35.42,17.04,50142000000,6.95,6.68
AAPL,2015-09-30,233715000000,93626000000,71230000000,53394000000,290479000000,171124000000,119355000000,10999000000.0,53463000000.0,81266000000,11247000000,40.06,30.48,22.85,64462000000.0,22.19,44.74,18.38,70019000000,27.86,35.14
AAPL,2016-09-30,215639000000,84263000000,60024000000,45687000000,321686000000,193437000000,128249000000,11605000000.0,75427000000.0,65824000000,12734000000,39.08,27.84,21.19,87032000000.0,27.05,35.62,14.2,53090000000,-7.73,-14.43
AAPL,2017-09-30,229234000000,88186000000,61344000000,48351000000,375319000000,241272000000,134047000000,18473000000.0,97207000000.0,63598000000,12451000000,38.47,26.76,21.09,115680000000.0,30.82,36.07,12.88,51147000000,6.3,5.83
AAPL,2018-09-30,265595000000,101839000000,70898000000,59531000000,365725000000,258578000000,107147000000,20748000000.0,93735000000.0,77434000000,13313000000,38.34,26.69,22.41,114483000000.0,31.3,55.56,16.28,64121000000,15.86,23.12
AAPL,2019-09-30,260174000000,98392000000,63930000000,55256000000,338516000000,248028000000,90488000000,16240000000.0,91807000000.0,69391000000,10495000000,37.82,24.57,21.24,108047000000.0,31.92,61.06,16.32,58896000000,-2.04,-7.18
AAPL,2020-09-30,274515000000,104956000000,66288000000,57411000000,323888000000,258549000000,65339000000,13769000000.0,98667000000.0,80674000000,7309000000,38.23,24.15,20.91,112436000000.0,34.71,87.87,17.73,73365000000,5.51,3.9
AAPL,2021-09-30,365817000000,152836000000,108949000000,94680000000,351002000000,287912000000,63090000000,15613000000.0,109106000000.0,104038000000,11085000000,41.78,29.78,25.88,124719000000.0,35.53,150.07,26.97,92953000000,33.26,64.92
AAPL,2022-09-30,394328000000,170782000000,119437000000,99803000000,352755000000,302083000000,50672000000,21110000000.0,98959000000.0,122151000000,10708000000,43.31,30.29,25.31,120069000000.0,34.04,196.96,28.29,111443000000,7.79,5.41
AAPL,2023-09-30,383285000000,169148000000,114301000000,96995000000,352583000000,290437000000,62146000000,15807000000.0,95281000000.0,110543000000,10959000000,44.13,29.82,25.31,111088000000.0,31.51,156.08,27.51,99584000000,-2.8,-2.81
AAPL,2024-09-30,391035000000,180683000000,123216000000,93736000000,364980000000,308030000000,56950000000,22511000000.0,85750000000.0,118254000000,9447000000,46.21,31.51,23.97,108261000000.0,29.66,164.59,25.68,108807000000,2.02,-3.36
AAPL,2025-09-30,416161000000,195201000000,133050000000,112010000000,359241000000,285508000000,73733000000,22446000000.0,78328000000.0,111482000000,12715000000,46.91,31.97,26.92,100774000000.0,28.05,151.91,31.18,98767000000,6.43,19.5
AMZN,2006-12-31,10711000000,857000000,389000000,190000000,4363000000,3932000000,431000000,,1267000000.0,702000000,216000000,8.0,3.63,1.77,1267000000.0,29.04,44.08,4.35,486000000,,
AMZN,2007-12-31,14835000000,1243000000,655000000,476000000,6485000000,5288000000,1197000000,17000000.0,1344000000.0,1405000000,224000000,8.38,4.42,3.21,1361000000.0,20.99,39.77,7.34,1181000000,38.5,150.53
AMZN,2008-12-31,19166000000,1579000000,842000000,645000000,8314000000,5642000000,2672000000,59000000.0,533000000.0,1697000000,333000000,8.24,4.39,3.37,592000000.0,7.12,24.14,7.76,1364000000,29.19,35.5
AMZN,2009-12-31,24509000000,2239000000,1129000000,902000000,13813000000,8556000000,5257000000,,109000000.0,3293000000,373000000,9.14,4.61,3.68,109000000.0,0.79,17.16,6.53,2920000000,27.88,39.84
AMZN,2010-12-31,34204000000,3011000000,1406000000,1152000000,18797000000,11933000000,6864000000,,641000000.0,3495000000,979000000,8.8,4.11,3.37,641000000.0,3.41,16.78,6.13,2516000000,39.56,27.72
AMZN,2011-12-31,48077000000,3304000000,862000000,631000000,25278000000,17521000000,7757000000,,1415000000.0,3903000000,1811000000,6.87,1.79,1.31,1415000000.0,5.6,8.13,2.5,2092000000,40.56,-45.23
AMZN,2012-12-31,61093000000,4139000000,676000000,-39000000,32555000000,24363000000,8192000000,792000000.0,3084000000.0,4180000000,3785000000,6.77,1.11,-0.06,3876000000.0,11.91,-0.48,-0.12,395000000,27.07,-106.18
AMZN,2013-12-31,74452000000,5121000000,745000000,274000000,40159000000,30413000000,9746000000,753000000.0,3191000000.0,5475000000,3444000000,6.88,1.0,0.37,3944000000.0,9.82,2.81,0.68,2031000000,21.87,-802.56
AMZN,2014-12-31,88988000000,6195000000,178000000,-241000000,54505000000,43764000000,10741000000,1520000000.0,8265000000.0,6842000000,4893000000,6.96,0.2,-0.27,9785000000.0,17.95,-2.24,-0.44,1949000000,19.52,-187.96
AMZN,2015-12-31,107006000000,9405000000,2233000000,596000000,64747000000,51363000000,13384000000,238000000.0,8235000000.0,12039000000,5387000000,8.79,2.09,0.56,8473000000.0,13.09,4.45,0.92,6652000000,20.25,-347.3
AMZN,2016-12-31,135987000000,14018000000,4186000000,2371000000,83402000000,64117000000,19285000000,5197000000.0,7694000000.0,17203000000,7804000000,10.31,3.08,1.74,12891000000.0,15.46,12.29,2.84,9399000000,27.08,297.82
AMZN,2017-12-31,177866000000,65932000000,4106000000,3033000000,131310000000,103601000000,27709000000,6182000000.0,24743000000.0,18365000000,11955000000,37.07,2.31,1.71,30925000000.0,23.55,10.95,2.31,6410000000,30.8,27.92
AMZN,2018-12-31,232887000000,93731000000,12421000000,10073000000,162648000000,119099000000,43549000000,9502000000.0,23495000000.0,30723000000,13427000000,40.25,5.33,4.33,32997000000.0,20.29,23.13,6.19,17296000000,30.93,232.11
AMZN,2019-12-31,280522000000,114986000000,14541000000,11588000000,225248000000,163188000000,62060000000,1307000000.0,23414000000.0,38514000000,16861000000,40.99,5.18,4.13,24721000000.0,10.98,18.67,5.14,21653000000,20.45,15.04
AMZN,2020-12-31,386064000000,152757000000,22899000000,21331000000,321195000000,227791000000,93404000000,16115000000.0,31816000000.0,66064000000,40140000000,39.57,5.93,5.53,47931000000.0,14.92,22.84,6.64,25924000000,37.62,84.08
AMZN,2021-12-31,469822000000,197478000000,24879000000,33364000000,420549000000,282304000000,138245000000,15923000000.0,48744000000.0,46327000000,61053000000,42.03,5.3,7.1,64667000000.0,15.38,24.13,7.93,-14726000000,21.7,56.41
AMZN,2022-12-31,513983000000,225152000000,12248000000,-2722000000,462675000000,316632000000,146043000000,14854000000.0,67150000000.0,46752000000,63645000000,43.81,2.38,-0.53,82004000000.0,17.72,-1.86,-0.59,-16893000000,9.4,-108.16
AMZN,2023-12-31,574785000000,270046000000,36852000000,30425000000,527854000000,325979000000,201875000000,18945000000.0,58314000000.0,84946000000,52729000000,46.98,6.41,5.29,77259000000.0,14.64,15.07,5.76,32217000000,11.83,-1217.74
AMZN,2024-12-31,637959000000,311671000000,68593000000,59248000000,624894000000,338924000000,285970000000,151000000.0,52623000000.0,115877000000,82999000000,48.85,10.75,9.29,52774000000.0,8.45,20.72,9.48,32878000000,10.99,94.73
