fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,symbol,period_type,statement_type
2006-06-30,USD,1325000000,4370000000,3045000000,3045000000,566000000,584000000,175000000.0,759000000,,,,0.0,,,,57000000.0,661000000,189000000,,0.0,,566000000.0,623000000,472000000,AAPL,Quarterly,income
2006-09-30,USD,5598000000,19315000000,13717000000,13717000000,2453000000,2433000000,712000000.0,3145000000,,,,365000000.0,,,,225000000.0,2818000000,829000000,,,,2453000000.0,2678000000,1989000000,AAPL,Annual,income
2006-09-30,USD,1412000000,4370000000,3425000000,3425000000,608000000,584000000,179000000.0,804000000,,,,252000000.0,,,,66000000.0,721000000,179000000,,0.0,,661000000.0,718000000,542000000,AAPL,Quarterly,income
2006-12-31,USD,2220000000,7115000000,4895000000,4895000000,1322000000,714000000,184000000.0,898000000,,,,126000000.0,,,,74000000.0,1448000000,444000000,,0.0,,1322000000.0,1396000000,1004000000,AAPL,Quarterly,income
2007-03-31,USD,1849000000,5264000000,3415000000,3415000000,986000000,680000000,183000000.0,863000000,,,,148000000.0,,,,69000000.0,1134000000,364000000,,0.0,,986000000.0,1055000000,770000000,AAPL,Quarterly,income
2007-06-30,USD,1995000000,5410000000,3415000000,3415000000,1041000000,746000000,208000000.0,954000000,,,,155000000.0,,,,81000000.0,1196000000,378000000,,0.0,,1041000000.0,1122000000,818000000,AAPL,Quarterly,income
2007-09-30,USD,8154000000,24006000000,15852000000,15852000000,4409000000,2963000000,782000000.0,3745000000,,,,599000000.0,,,,317000000.0,5008000000,1512000000,,,,4407000000.0,4724000000,3495000000,AAPL,Annual,income
2007-09-30,USD,2090000000,6217000000,4127000000,4127000000,1060000000,823000000,207000000.0,1030000000,,,,170000000.0,,,,93000000.0,1230000000,326000000,,0.0,,1060000000.0,1153000000,904000000,AAPL,Quarterly,income
2007-12-31,USD,3332000000,9608000000,6276000000,6276000000,2126000000,960000000,246000000.0,1206000000,,,,200000000.0,,,,106000000.0,2326000000,745000000,,0.0,,2126000000.0,2232000000,1581000000,AAPL,Quarterly,income
2008-03-31,USD,2474000000,7512000000,5038000000,5038000000,1315000000,886000000,273000000.0,1159000000,,,,162000000.0,,,,116000000.0,1477000000,432000000,,0.0,,1315000000.0,1431000000,1045000000,AAPL,Quarterly,income
2008-06-30,USD,2600000000,7464000000,4864000000,4864000000,1392000000,916000000,292000000.0,1208000000,,,,118000000.0,,,,117000000.0,1510000000,438000000,,0.0,,1392000000.0,1509000000,1072000000,AAPL,Quarterly,income
2008-09-30,USD,11145000000,32479000000,21334000000,21334000000,6275000000,3761000000,1109000000.0,4870000000,,,,620000000.0,,,,409000000.0,6895000000,2061000000,,,,6895000000.0,7304000000,4834000000,AAPL,Annual,income
2008-09-30,USD,2739000000,7895000000,5156000000,5156000000,1442000000,999000000,298000000.0,1297000000,,,,140000000.0,,,,134000000.0,1582000000,446000000,,0.0,,1442000000.0,1576000000,1136000000,AAPL,Quarterly,income
2008-12-31,USD,4507000000,11880000000,7373000000,7373000000,3101000000,1091000000,315000000.0,1406000000,,,,158000000.0,,,,168000000.0,3259000000,1004000000,,0.0,,3101000000.0,3269000000,2255000000,AAPL,Quarterly,income
2009-03-31,USD,3627000000,9084000000,5457000000,5457000000,2323000000,985000000,319000000.0,1304000000,,,,63000000.0,,,,181000000.0,2386000000,766000000,,0.0,,2323000000.0,2504000000,1620000000,AAPL,Quarterly,income
2009-06-30,USD,3983000000,9734000000,5751000000,5751000000,2632000000,1010000000,341000000.0,1351000000,,,,236000000.0,,60000000.0,,182000000.0,2692000000,864000000,,1229000000.0,,2632000000.0,2814000000,1828000000,AAPL,Quarterly,income
2009-09-30,USD,16852000000,42603000000,25751000000,25751000000,11370000000,4149000000,1333000000.0,5482000000,,,,326000000.0,,326000000.0,,659000000.0,12066000000,3831000000,,8235000000.0,,11370000000.0,12029000000,8235000000,AAPL,Annual,income
2009-09-30,USD,3614000000,9870000000,6256000000,6256000000,2193000000,1063000000,358000000.0,1421000000,,,,45000000.0,,,,197000000.0,2238000000,573000000,,0.0,,2193000000.0,2390000000,1665000000,AAPL,Quarterly,income
2009-12-31,USD,6411000000,15683000000,9272000000,9272000000,4725000000,1288000000,398000000.0,1686000000,,,,33000000.0,,33000000.0,,209000000.0,4758000000,1380000000,,3378000000.0,,4725000000.0,4934000000,3378000000,AAPL,Quarterly,income
2010-03-31,USD,5625000000,13499000000,7874000000,7874000000,3979000000,1220000000,426000000.0,1646000000,,,,266000000.0,,50000000.0,,216000000.0,4029000000,955000000,,3074000000.0,,3979000000.0,4195000000,3074000000,AAPL,Quarterly,income
2010-06-30,USD,6136000000,15700000000,9564000000,9564000000,4234000000,1438000000,464000000.0,1902000000,,,,58000000.0,,58000000.0,,273000000.0,4292000000,1039000000,,3253000000.0,,4234000000.0,4507000000,3253000000,AAPL,Quarterly,income
2010-09-30,USD,25684000000,65225000000,39541000000,39541000000,18385000000,5517000000,1782000000.0,7299000000,,,,155000000.0,,155000000.0,,1027000000.0,18540000000,4527000000,,14013000000.0,,18385000000.0,19412000000,14013000000,AAPL,Annual,income
2010-09-30,USD,7512000000,20343000000,12831000000,12831000000,5447000000,1571000000,494000000.0,2065000000,,,,14000000.0,,14000000.0,,329000000.0,5461000000,1153000000,,4308000000.0,,5447000000.0,5776000000,4308000000,AAPL,Quarterly,income
2010-12-31,USD,10298000000,26741000000,16443000000,16443000000,7827000000,1896000000,575000000.0,2471000000,,,,136000000.0,,136000000.0,,356000000.0,7963000000,1959000000,,6004000000.0,,7827000000.0,8183000000,6004000000,AAPL,Quarterly,income
2011-03-31,USD,10218000000,24667000000,14449000000,14449000000,7874000000,1763000000,581000000.0,2344000000,,,,26000000.0,,26000000.0,,434000000.0,7900000000,1913000000,,5987000000.0,,7874000000.0,8308000000,5987000000,AAPL,Quarterly,income
2011-06-30,USD,11922000000,28571000000,16649000000,16649000000,9379000000,1915000000,628000000.0,2543000000,,,,172000000.0,,172000000.0,,481000000.0,9551000000,2243000000,,7308000000.0,,9379000000.0,9860000000,7308000000,AAPL,Quarterly,income
2011-09-30,USD,43818000000,108249000000,64431000000,64431000000,33790000000,7599000000,2429000000.0,10028000000,,,,415000000.0,,415000000.0,,1814000000.0,34205000000,8283000000,,25922000000.0,,34205000000.0,36019000000,25922000000,AAPL,Annual,income
2011-09-30,USD,11380000000,28270000000,16890000000,16890000000,8710000000,2025000000,645000000.0,2670000000,,,,81000000.0,,81000000.0,,543000000.0,8791000000,2168000000,,6623000000.0,,8710000000.0,9253000000,6623000000,AAPL,Quarterly,income
2011-12-31,USD,20703000000,46333000000,25630000000,25630000000,17340000000,2605000000,758000000.0,3363000000,,,,137000000.0,,137000000.0,,721000000.0,17477000000,4413000000,,13064000000.0,,17340000000.0,18061000000,13064000000,AAPL,Quarterly,income
2012-03-31,USD,18564000000,39186000000,20622000000,20622000000,15384000000,2339000000,841000000.0,3180000000,,,,148000000.0,,148000000.0,,740000000.0,15532000000,3910000000,,11622000000.0,,15384000000.0,16124000000,11622000000,AAPL,Quarterly,income
